normalized_text,date
"['September', 'Jim', 'Cramer', 'say', 'short', 'Nvidia', 'NVDA', 'call', 'loser', 'NVDA']",2023-05-29
[],2023-05-29
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",2023-05-29
"['hopefully', 'short']",2023-05-29
"['name', 'dog', 'Nvidia']",2023-05-29
"['Nvidia', 'month']",2023-05-29
"['bullish', 'fuck']",2023-05-29
"['technically', 'wrong', 'short', 'term', 'fall', 'dollar']",2023-05-29
"['point', 'WSB', 'go', 'realize', 'goal', 'wrong', 'mm', 'trade']",2023-05-29
"['s', 'advice', 'NVDA']",2023-05-29
"['guy', 'need', 'Inverse', 'Cramer', 'ETF', 'm', 'go', 'to', 'money', 'life']",2023-05-29
"['dude', 'predict', 'stock', 'market', 'idiot']",2023-05-29
"['say', 'JP', 'Morgan', 'fortress', 'JP', 'Morgan', 'investigation', 'investigation', 'dealing', 'Epstein', 'reveal', 'bunch', 'wrong', 'doing']",2023-05-29
"['Cathie', 'Cramer', 'good', 'friend', 'regarded', 'portfolio']",2023-05-29
"['WSB', 'NVDA', 'price', 'piece', 'shit', 'WSB', 'lol', 'Cramer', 'moron', 'talk', 'shit', 'NVDA']",2023-05-29
"['obviously', 'time', 'short', 'right', 'pump', 'stock', 'pie', 'sky', 'revenue', 'estimate', 'sell', 'billion', 'share', 'open', 'market', 'definitely', 'issue', 'revenue', 'guidance', 'revision', 'initial', 'guidance']",2023-05-29
"['post', 'dumb']",2023-05-29
"['stock', 'portfolio', 'buy', 'sell', 'opposite', 'Kramer', 'say', 'like', 'safe', 'money', 'want', 'invest']",2023-05-29
"['real', 'question', 'long', 'Cramer', 'actually', 'dumb']",2023-05-29
"['make', 'sense']",2023-05-29
"['guy', 'vicious', 'pump', 'friend', 'probably', 'pal', 'compete']",2023-05-29
"['probably', 'huge', 'money', 'market', 'exact', 'opposite', 'guy', 'say']",2023-05-29
"['Dan', 'Nathan', 'try', 'short', 'NVDA']",2023-05-30
[],2023-05-30
"['User', 'Total', 'see', 'month', 'ago', 'total', 'good', 'Account']",2023-05-30
"['big', 'time', 'give', 'performance', 'today', 'FM']",2023-05-30
"['short', 'keep', 'roll', 'today', 'meltdown', 'epic']",2023-05-30
