normalized_text,sentiment,date
"['September', 'Jim', 'Cramer', 'say', 'short', 'Nvidia', 'NVDA', 'call', 'loser', 'NVDA']",0.0,2023-05-29
[],0.0,2023-05-29
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",0.3333333333333333,2023-05-29
"['hopefully', 'short']",0.0,2023-05-29
"['name', 'dog', 'Nvidia']",0.0,2023-05-29
"['Nvidia', 'month']",0.0,2023-05-29
"['bullish', 'fuck']",-0.4,2023-05-29
"['technically', 'wrong', 'short', 'term', 'fall', 'dollar']",-0.25,2023-05-29
"['point', 'WSB', 'go', 'realize', 'goal', 'wrong', 'mm', 'trade']",-0.5,2023-05-29
"['s', 'advice', 'NVDA']",0.0,2023-05-29
"['guy', 'need', 'Inverse', 'Cramer', 'ETF', 'm', 'go', 'to', 'money', 'life']",0.0,2023-05-29
"['dude', 'predict', 'stock', 'market', 'idiot']",-0.8,2023-05-29
"['say', 'JP', 'Morgan', 'fortress', 'JP', 'Morgan', 'investigation', 'investigation', 'dealing', 'Epstein', 'reveal', 'bunch', 'wrong', 'doing']",-0.5,2023-05-29
"['Cathie', 'Cramer', 'good', 'friend', 'regarded', 'portfolio']",0.7,2023-05-29
"['WSB', 'NVDA', 'price', 'piece', 'shit', 'WSB', 'lol', 'Cramer', 'moron', 'talk', 'shit', 'NVDA']",-0.09999999999999999,2023-05-29
"['obviously', 'time', 'short', 'right', 'pump', 'stock', 'pie', 'sky', 'revenue', 'estimate', 'sell', 'billion', 'share', 'open', 'market', 'definitely', 'issue', 'revenue', 'guidance', 'revision', 'initial', 'guidance']",0.047619047619047616,2023-05-29
"['post', 'dumb']",-0.375,2023-05-29
"['stock', 'portfolio', 'buy', 'sell', 'opposite', 'Kramer', 'say', 'like', 'safe', 'money', 'want', 'invest']",0.25,2023-05-29
"['real', 'question', 'long', 'Cramer', 'actually', 'dumb']",-0.075,2023-05-29
"['make', 'sense']",0.0,2023-05-29
"['guy', 'vicious', 'pump', 'friend', 'probably', 'pal', 'compete']",-1.0,2023-05-29
"['probably', 'huge', 'money', 'market', 'exact', 'opposite', 'guy', 'say']",0.2166666666666667,2023-05-29
"['Dan', 'Nathan', 'try', 'short', 'NVDA']",0.0,2023-05-30
[],0.0,2023-05-30
"['User', 'Total', 'see', 'month', 'ago', 'total', 'good', 'Account']",0.2333333333333333,2023-05-30
"['big', 'time', 'give', 'performance', 'today', 'FM']",0.0,2023-05-30
"['short', 'keep', 'roll', 'today', 'meltdown', 'epic']",0.05,2023-05-30
