normalized_text,date
"['start', 'Monday', 'buy', 'spy', 'Tuesday', 'start', 'blow']",2023-05-10
"['take', 'gain', 'SPY', 'shorted', 'SBUX', 'earning', 'take', 'shorted', 'IEP', 'shorted', 'PYPL', 'earning', 'short', 'abnb', 'short', 'CMG', 'currently', 'open', 'position']",2023-05-10
"['User', 'total', 'see', 'year', 'ago', 'total', 'good', 'Account']",2023-05-10
"['cool', 'want', 'end', 'place']",2023-05-10
"['turn', 'cash', 'year', 'ago', 'lose', 'subsequent', 'deposit', 'recently', 'turn', 'day', 'day', 'money', 'run', 'life']",2023-05-10
"['sure', 'pull', 'time', 'child', 'support', 'be', 'not', 'pleasant']",2023-05-10
"['congratfukulation', 'graduate', 'r', 'investing', 'turn', 'WSB', 'badge', 'guard', 'desk', 'place', 'regard']",2023-05-10
['time'],2023-05-10
"['extremely', 'impressive', 'tragic']",2023-05-10
"['question', 'start', 'rich', 'ass', 'motherfucker']",2023-05-10
"['gain', 'impressive']",2023-05-10
"['Holy', 'crap', 'comment', 'post', 'WSB', 'fun', 'smart', 'people', 'act', 'like', 'regard', 'actual', 'regard']",2023-05-10
"['GameStop', 'stop', 'trade', 'week', 'randomly', 'buy', 'Palantir', 'call', 'triple', 'money', 'sell', 'morning', 'go', 'to', 'ignore', 'stock', 'little', 'long', 'Shit', 'gamble', 'man']",2023-05-10
"['one', 'free', 'op']",2023-05-10
"['happy', 'couple', 'month', 'fair', 'tho', 'zero', 'idea']",2023-05-10
"['comment', 'history', 'suggest', 'lot', 'buying', 'sell', 'worth', 'put', 'nice', 'try', 'congrat', 'presumably', 'post', 'trading', 'history', 'time', 'lol']",2023-05-10
['know'],2023-05-10
"['make', 'colateral']",2023-05-10
"['week', 'dope', 'shit', 'week', 'easy', 'money']",2023-05-10
['fuck'],2023-05-10
"['Chatgpt', 'say', 'invest', 'SPY', 'Invesco', 'qqq']",2023-05-10
"['congrat', 'good', 'trade']",2023-05-10
