normalized_text,sentiment,date
"['fuck', 'tsla']",-0.4,2023-03-10
[],0.0,2023-03-10
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",0.3333333333333333,2023-03-10
"['like', 'yell', 'street', 'homeless', 'person']",0.0,2023-03-10
"['nice', 'retirement', 'get']",0.6,2023-03-10
"['truly', 'regard']",0.0,2023-03-10
"['User', 'regard']",0.0,2023-03-10
"['Lmao', 'buy', 'call', 'alrdy', 'run', 'Jan', 'low', 'damn', 'regard', 'af']",0.3,2023-03-10
"['buy', 'put']",0.0,2023-03-10
"['lol', 'fucking', 'will', 'save', 'ready', 'penetrate', 'day', 'day', 'inch', 'inch', 'expiry']",0.13333333333333336,2023-03-10
"['highly', 'regard', 'February', 'Tesla', 'fuck', 'think']",-0.12000000000000001,2023-03-10
"['hear', 'stop', 'loss']",0.0,2023-03-10
[],0.0,2023-03-10
"['look', 'rich', 'asshole']",0.375,2023-03-10
"['love', 'guy', 'reply', 'yep', 'fuck', 'u', 'truly', 'hero', 'man']",0.04999999999999999,2023-03-10
"['long', 'story', 'short']",-0.025,2023-03-10
"['Absolute', 'WSB', 'mentality', 'Buy', 'call', 'stock', 'gain']",0.2,2023-03-10
"['fuck', 'think', 'good', 'investment', 'give', 'money', 'blender', 'light', 'fire', 'entertaining']",0.3,2023-03-10
"['gay', 'bear', 'rise']",0.4166666666666667,2023-03-10
"['late', 'chart', 'obviously', 'red', 'go', 'lose', 'suppose']",-0.15,2023-03-10
"['Elon', 'fuck']",-0.4,2023-03-10
"['obviously', 'legal', 'guardian', 'handle', 'step']",0.2,2023-03-10
"['tsla', 'PUTS']",0.0,2023-05-18
[],0.0,2023-05-18
"['User', 'total', 'see', 'year', 'ago', 'total', 'Best', 'Account']",0.3333333333333333,2023-05-18
"['Wtf', 'today', 'take', 'initial', 'position']",-0.25,2023-05-18
"['absolutely', 'yes', 'add', 'Tesla', 'Tesla', 'moment', 'say', 'FUCK']",-0.1,2023-05-18
"['Kiss', 'death']",0.0,2023-05-18
"['August', 'TSLA', 'boy', 'em', 'cheap']",0.4,2023-05-18
"['damn', 'Cramer', 'start', 'make', 'money']",0.0,2023-05-18
['fucked'],-0.6,2023-05-18
"['thank', 'god', 'buy', 'CSP', 'today']",0.0,2023-05-18
"['oh', 'goodness']",0.0,2023-05-18
"['holy', 'shit', 'Michael', 'Burry', 'buy', 'put', 'time', 'ago']",-0.2,2023-05-18
"['Telsa', 'sell']",0.0,2023-05-18
['fella'],0.0,2023-05-18
"['careful', 'man', 'broken', 'clock', 'accurate', 'twice', 'day', 'forget']",-0.033333333333333305,2023-05-18
"['like', 'people', 'take', 'risk', 'nasdaq', 'finish', 'rise', 'wedge']",0.0,2023-05-18
"['actually', 'agree']",0.0,2023-05-18
"['Elon', 'need', 'liquidity', 'sell', 'guess']",0.0,2023-05-18
"['Elon', 'got', 'call', 'testify', 'epstine', 'case', 'yes', 'put']",0.0,2023-05-18
"['literally', 'buy', 'weekly']",0.0,2023-05-18
"['tsla', 'buy', 'care', 'Cramer', 'say']",0.0,2023-05-18
"['self', 'drive', 'lawsuit', 'unintended', 'death']",0.0,2023-05-18
